Source,ID,Location,Plot,si100,siteclass,age,boardfeet_scribner,total_cubic,si50
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,45,13267,5798,
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,50,19271,6659,
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,55,23414,6968,
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,60,28136,7635,
Williamson_1963,Mount Hood_1,Mount Hood,1,134,3,67,34028,8417,
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,45,9755,7144,
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,50,16866,8165,
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,55,22673,8811,
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,60,30232,9657,
Williamson_1963,Mount Hood_2,Mount Hood,2,129,3,67,35894,10607,
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,45,11301,6709,
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,50,17142,7449,
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,55,23390,8261,
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,60,31347,9355,
Williamson_1963,Mount Hood_3,Mount Hood,3,139,3,67,38913,10358,
Williamson_1963,Olympic_1,Olympic,1,130,3,51,14460,6265,
Williamson_1963,Olympic_1,Olympic,1,130,3,56,18640,6945,
Williamson_1963,Olympic_1,Olympic,1,130,3,61,23260,7725,
Williamson_1963,Olympic_1,Olympic,1,130,3,66,25976,8194,
Williamson_1963,Olympic_1,Olympic,1,130,3,71,30382,8726,
Williamson_1963,Olympic_1,Olympic,1,130,3,81,42049,10544,
Williamson_1963,Olympic_2,Olympic,2,128,3,51,10590,5925,
Williamson_1963,Olympic_2,Olympic,2,128,3,56,14370,6585,
Williamson_1963,Olympic_2,Olympic,2,128,3,61,19180,7325,
Williamson_1963,Olympic_2,Olympic,2,128,3,66,22601,7710,
Williamson_1963,Olympic_2,Olympic,2,128,3,71,26521,8142,
Williamson_1963,Olympic_2,Olympic,2,128,3,81,36289,9292,
Williamson_1963,Olympic_3,Olympic,3,118,4,42,1970,4440,
Williamson_1963,Olympic_3,Olympic,3,118,4,47,4000,5125,
Williamson_1963,Olympic_3,Olympic,3,118,4,52,6980,5475,
Williamson_1963,Olympic_3,Olympic,3,118,4,57,9913,6320,
Williamson_1963,Olympic_3,Olympic,3,118,4,62,11689,6242,
Williamson_1963,Olympic_3,Olympic,3,118,4,72,17351,7070,
Williamson_1963,Olympic_4,Olympic,4,116,4,42,980,5920,
Williamson_1963,Olympic_4,Olympic,4,116,4,47,2340,6370,
Williamson_1963,Olympic_4,Olympic,4,116,4,52,5443,6803,
Williamson_1963,Olympic_4,Olympic,4,116,4,57,9905,7466,
Williamson_1963,Olympic_4,Olympic,4,116,4,62,13105,7683,
Williamson_1963,Olympic_4,Olympic,4,116,4,72,20245,8780,
Williamson_1963,Pinchot_1,Pinchot,1,181,2,55,56270,12490,
Williamson_1963,Pinchot_1,Pinchot,1,181,2,60,67900,13900,
Williamson_1963,Pinchot_1,Pinchot,1,181,2,66,77830,15375,
Williamson_1963,Pinchot_1,Pinchot,1,181,2,76,100742,19405,
Williamson_1963,Pinchot_1,Pinchot,1,181,2,91,103412,18629,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,50,27900,8520,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,55,37350,10080,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,60,44430,10920,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,66,57831,12605,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,76,75078,15110,
Williamson_1963,Pinchot_2,Pinchot,2,175,2,81,84344,16325,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,50,36920,10180,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,55,45380,11680,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,60,57000,12980,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,66,66034,14039,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,76,83914,16042,
Williamson_1963,Pinchot_3,Pinchot,3,174,2,81,82029,15353,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,56,32410,8460,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,61,39900,9590,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,66,50190,11110,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,72,58791,12288,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,82,77868,14792,
Williamson_1963,Pinchot_4,Pinchot,4,172,2,87,82350,15414,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,53,40330,9600,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,57,47170,10770,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,62,58550,12380,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,68,67292,13389,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,78,95608,17042,
Williamson_1963,Pinchot_5,Pinchot,5,185,2,83,98919,16542,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,52,33470,9220,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,56,40550,10370,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,61,48490,11270,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,67,60772,13177,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,77,80872,15901,
Williamson_1963,Pinchot_7,Pinchot,7,176,2,82,85339,15786,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,58,22810,7940,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,62,27170,8460,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,67,33080,9460,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,73,38905,10983,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,83,49956,12176,
Williamson_1963,Pinchot_9,Pinchot,9,137,3,88,56129,13001,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,67,84740,15305,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,72,90040,15580,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,77,87610,14860,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,82,67448,11130,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,87,74991,12099,
Williamson_1963,Siuslaw_10,Siuslaw,10,205,1,92,80072,12831,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,50,48350,11980,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,55,61620,14150,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,60,71870,15520,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,65,81510,16890,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,70,100840,19435,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,75,111110,21120,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,80,119726,22125,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,95,134028,24253,
Williamson_1963,Siuslaw_4,Siuslaw,4,174,2,90,143848,25716,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,50,26370,9895,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,55,35500,11180,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,60,42290,11625,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,65,47890,12395,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,70,54940,13415,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,75,62280,14110,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,80,67283,14328,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,95,75298,15474,
Williamson_1963,Siuslaw_5,Siuslaw,5,175,2,90,81013,16218,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,38,25280,7060,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,45,33760,8415,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,48,,,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,53,53880,11225,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,58,63240,12655,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,63,73710,13910,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,68,73024,13550,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,73,86007,15278,
Williamson_1963,Siuslaw_6,Siuslaw,6,194,1,78,90310,15762,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,38,14440,5445,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,45,22120,6270,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,48,,,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,53,39880,8805,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,58,49070,9960,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,63,59690,11455,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,68,57793,10587,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,73,67925,12367,
Williamson_1963,Siuslaw_7,Siuslaw,7,196,1,78,76303,13163,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,53,44400,10985,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,58,53320,12480,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,63,58810,12760,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,68,66047,13493,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,73,70970,14030,
Williamson_1963,Siuslaw_8,Siuslaw,8,178,2,78,76875,14882,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,74,91620,16340,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,79,92100,16025,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,84,98090,16370,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,89,69346,11452,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,94,74514,12075,
Williamson_1963,Siuslaw_9,Siuslaw,9,198,1,99,78679,12620,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,42,13890,5140,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,46,18490,6200,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,51,26130,7420,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,57,35260,8850,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,67,41678,9986,
Williamson_1963,Snoqualmie_1,Snoqualmie,1,141,3,72,48482,10928,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,42,14560,5010,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,46,18780,5780,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,51,25310,6760,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,57,33474,8097,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,67,42507,9564,
Williamson_1963,Snoqualmie_2,Snoqualmie,2,156,2,72,47813,10166,
Williamson_1963,Willamette_1,Willamette,1,170,2,54,29010,7354,
Williamson_1963,Willamette_1,Willamette,1,170,2,59.5,37440,8709,
Williamson_1963,Willamette_1,Willamette,1,170,2,64.5,44070,9528,
Williamson_1963,Willamette_1,Willamette,1,170,2,69,49280,10316,
Williamson_1963,Willamette_1,Willamette,1,170,2,74,54128,11162,
Williamson_1963,Willamette_1,Willamette,1,170,2,79,63754,12483,
Williamson_1963,Willamette_1,Willamette,1,170,2,84,70145,13301,
Williamson_1963,Willamette_1,Willamette,1,170,2,90,77713,14165,
Williamson_1963,Willamette_1,Willamette,1,170,2,95,84666,15225,
Williamson_1963,Willamette_1,Willamette,1,170,2,100,87686,15510,
Williamson_1963,Willamette_2,Willamette,2,170,2,54,34710,8796,
Williamson_1963,Willamette_2,Willamette,2,170,2,59.5,44040,10274,
Williamson_1963,Willamette_2,Willamette,2,170,2,64.5,47860,10536,
Williamson_1963,Willamette_2,Willamette,2,170,2,69,53860,11324,
Williamson_1963,Willamette_2,Willamette,2,170,2,74,60620,12485,
Williamson_1963,Willamette_2,Willamette,2,170,2,79,67242,13274,
Williamson_1963,Willamette_2,Willamette,2,170,2,84,67716,12788,
Williamson_1963,Willamette_2,Willamette,2,170,2,90,77153,13917,
Williamson_1963,Willamette_2,Willamette,2,170,2,95,81917,14654,
Williamson_1963,Willamette_2,Willamette,2,170,2,100,84641,14954,
Williamson_1963,Willamette_3,Willamette,3,170,2,54,36380,8833,
Williamson_1963,Willamette_3,Willamette,3,170,2,59.5,46410,10406,
Williamson_1963,Willamette_3,Willamette,3,170,2,64.5,50940,10934,
Williamson_1963,Willamette_3,Willamette,3,170,2,69,57920,11864,
Williamson_1963,Willamette_3,Willamette,3,170,2,74,63312,12741,
Williamson_1963,Willamette_3,Willamette,3,170,2,79,69694,13628,
Williamson_1963,Willamette_3,Willamette,3,170,2,84,76893,14536,
Williamson_1963,Willamette_3,Willamette,3,170,2,90,83022,15052,
Williamson_1963,Willamette_3,Willamette,3,170,2,95,87000,15508,
Williamson_1963,Willamette_3,Willamette,3,170,2,100,92263,16216,
Williamson_1963,Wind River_2,Wind River,2,146,3,72,42270,9247,
Williamson_1963,Wind River_2,Wind River,2,146,3,77,50400,10625,
Williamson_1963,Wind River_2,Wind River,2,146,3,83,58850,11953,
Williamson_1963,Wind River_2,Wind River,2,146,3,88,57320,11524,
Williamson_1963,Wind River_2,Wind River,2,146,3,93,54357,10681,
Williamson_1963,Wind River_2,Wind River,2,146,3,98,59175,11427,
Williamson_1963,Wind River_2,Wind River,2,146,3,103,64514,12293,
Williamson_1963,Wind River_2,Wind River,2,146,3,109,66557,12582,
Williamson_1963,Wind River_2,Wind River,2,146,3,114,60726,11441,
Williamson_1963,Wind River_2,Wind River,2,146,3,119,64265,11982,
Williamson_1963,Wind River_4,Wind River,4,148,3,72,37400,8952,
Williamson_1963,Wind River_4,Wind River,4,148,3,77,44660,10047,
Williamson_1963,Wind River_4,Wind River,4,148,3,83,52640,11344,
Williamson_1963,Wind River_4,Wind River,4,148,3,88,59440,12140,
Williamson_1963,Wind River_4,Wind River,4,148,3,93,59630,12265,
Williamson_1963,Wind River_4,Wind River,4,148,3,98,65807,12924,
Williamson_1963,Wind River_4,Wind River,4,148,3,103,68268,13191,
Williamson_1963,Wind River_4,Wind River,4,148,3,109,65872,12588,
Williamson_1963,Wind River_4,Wind River,4,148,3,114,67845,12727,
Williamson_1963,Wind River_4,Wind River,4,148,3,119,70304,13049,
Williamson_1963,Wind River_5,Wind River,5,150,3,72,48130,10292,
Williamson_1963,Wind River_5,Wind River,5,150,3,77,55630,11490,
Williamson_1963,Wind River_5,Wind River,5,150,3,83,63200,12651,
Williamson_1963,Wind River_5,Wind River,5,150,3,88,68810,13712,
Williamson_1963,Wind River_5,Wind River,5,150,3,93,66310,12820,
Williamson_1963,Wind River_5,Wind River,5,150,3,98,64433,12323,
Williamson_1963,Wind River_5,Wind River,5,150,3,103,64715,12265,
Williamson_1963,Wind River_5,Wind River,5,150,3,109,67984,12765,
Williamson_1963,Wind River_5,Wind River,5,150,3,114,70404,12995,
Williamson_1963,Wind River_5,Wind River,5,150,3,119,73067,13577,
Williamson_1963,Wind River_9,Wind River,9,122,4,83,37830,9190,
Williamson_1963,Wind River_9,Wind River,9,122,4,88,38378,9139,
Williamson_1963,Wind River_9,Wind River,9,122,4,93,39414,9172,
Williamson_1963,Wind River_9,Wind River,9,122,4,98,40858,9210,
Williamson_1963,Wind River_9,Wind River,9,122,4,103,43473,9711,
Williamson_1963,Wind River_9,Wind River,9,122,4,109,46625,10292,
Williamson_1963,Wind River_9,Wind River,9,122,4,114,49445,10765,
Williamson_1963,Wind River_9,Wind River,9,122,4,119,48824,10476,
Williamson_1963,Wind River_90,Wind River,90,157,2,98,77908,14756,
Williamson_1963,Wind River_90,Wind River,90,157,2,103,83577,15463,
Williamson_1963,Wind River_90,Wind River,90,157,2,109,88811,16518,
Williamson_1963,Wind River_90,Wind River,90,157,2,114,93475,16470,
Williamson_1963,Wind River_90,Wind River,90,157,2,119,95653,16869,
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,33,1874,2455,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,38,6385,3654,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,43,11974,5175,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,48,20266,6780,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,53,28682,8415,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,58,37400,9823,111
Curtis_and_Marshall_2002,Stampede Creek_61,Stampede Creek,61,,3,63,45825,11493,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,33,2388,2211,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,38,5141,3316,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,43,10754,4609,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,48,16661,5917,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,53,23353,7088,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,58,30330,8136,111
Curtis_and_Marshall_2002,Stampede Creek_105,Stampede Creek,105,,3,63,35735,9206,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,33,2730,2587,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,38,6296,3774,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,43,10880,5099,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,48,17173,6301,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,53,25796,7835,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,58,33404,9205,111
Curtis_and_Marshall_2002,Stampede Creek_122,Stampede Creek,122,,3,63,40300,10555,111
